_ga;GA1.2.2110252753.1600753254;.guru99.com;/;Thu Sep 22 11:10:54 IST 2022;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Tue Sep 22 11:11:54 IST 2020;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.1046874119.1600753254;.guru99.com;/;Wed Sep 23 11:10:54 IST 2020;false
